symbol,_J,_U
GME,-1.014790187218,5.441441441441
PBI,-0.788823529412,1.822165605096
OSTK,-1.070941475827,2.98461174802
FCEL,-2.183381259296,35.509433962264
SPWR,-1.543912568306,4.671560846561
PLUG,-2.603074227365,75.687339965303
M,-1.625142857143,29.936842105263
TLRY,-0.471117365607,58.974045801526
FOXA,-1.237057313944,3.460445082556
KR,-1.261672473868,3.116849580374
BB,-1.608202105263,3.649068501003
DISCA,-2.132287234043,21.314774022028
TWTR,4.889404388715,-12.578387096774
EBAY,-1.866926938093,9.321637426901
IBM,0.527792207792,-1.270992963253
PLD,-1.066666666667,1.39200809307
MMM,-10.553488372093,-2.592402170808
JNJ,-1.3266283084,4.094619072989
GE,-0.44696969697,-6.820809248555
ISRG,1.270949028443,5.837718277066
CMCSA,6.859485769284,-31.52545971564
UAL,0.010494296578,0.076454293629
T,-1.0327696793,4.823693617021
ORCL,3.161805401934,14.409092682927
FB,-4.583755102041,-1.345216063247
MSFT,-0.339650857083,0.233408673312
VALE,-0.0,-2.506820365034
SBUX,-1.548571428572,-1.302102102102
PEP,0.471937377691,10.974288964732
DAL,0.525238095238,-21.521951219511
KO,2.64887063655,42.999999999999
MCD,-1.597941176471,-0.625831533477
AMZN,-0.337235001186,0.114832489523
CLX,-0.117117770696,-0.168123992868
WMT,-1.313187772926,-1002.400000009425
NFLX,-0.433683718757,1.023230179944
COST,4.270065789474,-21.607990012485
AZN,-1.669090909091,5.341935483871
GOOGL,-1.967663258452,2.332954605787
AAL,0.259622641509,19.657142857144
AMD,-1.391961414791,147.999999999942
AMGN,-2.039416309013,6.806818507377
ADBE,3.675059550066,-12.456245795021
PG,0.0,6.066868833657
C,0.0,-2.25059493016
CSCO,-0.0,-9.744425531916
V,0.994877589454,46.647240618101
TSLA,-2.228373746582,156.059232175501
LLY,-2.286282994375,7.428089413749
WDAY,4.533037974684,-7.948064918851
CRM,-6.284444444444,-3.015384615385
CL,0.0,7.500610293736
AAPL,-1.476166924266,1.661153143752
QQQ,-1.988429415462,3.702055116728
PFE,-2.106804123711,-11.545762711865
ABT,-1.389315628192,5.202394385052
EA,-0.807168458781,1.042592592593
ILMN,-1.195778315046,2.501707115413
CAT,-0.0,-6.883953630262
BLK,-3.662827763496,-5.388446629479
IVV,-2.182797941557,8.820036641222
AVGO,-1.3865270397,9.338386230854
UPS,1.931024096386,37.991111111111
LOW,-2.297084048027,13.425563909774
JPM,-0.0,-8.246933701658
INTC,-1.83914004914,13.396510067114
HON,0.604836158192,10.80282542886
MA,0.920912703029,39.793904761903
GS,-0.0,-8.162347429417
BMY,-0.576623813655,-55.880356687899
BRK.B,-2.085751633987,-22.122703639516
ADSK,0.146253164557,-0.733587301587
SNAP,-0.538449304175,14.375796178344
VWO,-1.21229202454,12.19775308642
BA,0.607327156094,54.446006389778
IWM,-2.133921069789,39.367320754718
BAC,-0.0,-5.433212121212
DE,-1.537876636995,115.889791505784
MRVL,-2.15998005698,12.302685598377
REGN,-2.054841347727,8.15864924101
TXN,-1.50318,23.803325415677
F,-1.341130434783,6.877591973244
HD,-2.039625468165,8.938530980714
IJH,-1.150741608488,89.493104294473
QCOM,-1.32113436867,11.077707006369
ATVI,-2.248421052632,2.902173913043
MRK,0.0,-2.766060606061
TGT,-0.0,-19.565561497326
DIS,0.506939655172,7.643216896832
UNH,1.966901408451,-3.688954928182
XLB,-1.676373652695,-5.975547491996
FDX,1.405154483798,46.732832080204
ABBV,-1.241617449664,-182.737546301496
MS,-0.0,-7.766423357664
NVDA,-0.874161606726,3.072445210539
CVX,-1.606174496644,-33.23888888889
NKE,0.300190995907,2.701534683855
TJX,0.0,1.715573770492
BKNG,0.190793486689,5.075691355637
GILD,-1.874719673802,6.969587873046
MU,-0.552384180791,47.347215496369
XOM,-1.545375302663,-30.537799043063
AMAT,-0.489283639884,24.89802955665
NOK,-1.155421686747,2.779710144928
GM,-1.206859344894,29.545283018868
CCL,0.129698996656,3.108617234469
NVS,-2.39135021097,7.06230529595
WFC,-0.849027777778,-6.128320802005
PYPL,-3.979203036053,10.639472349061
LULU,0.787711538462,49.499697885197
UVXY,0.0,98.352941176484
TSM,-1.51756097561,14.958528669311
VZ,1.709653936611,-11.255668202765
EXPE,-1.322119205298,-5.78038364097
SQ,0.0,8.752334943639
LMT,0.0,3.449656035022
MELI,-1.679966671296,30.766632756868
AXP,3.498493434692,-11.228805914972
W,-0.0,-14.124791929382
SE,-1.975376285869,-53.812979351035
ROKU,-0.628315605652,-52.213192612138
TWLO,64.10509803921,-9.520559114735
FCX,-0.857394957983,-6.188324488249
GSX,-1.430153732173,12.185728779168
LI,-0.738069216758,-11.593705293276
FUTU,-2.127746150257,12.647263313609
EH,-2.061228280407,0.0
JD,-1.1951171875,20.903416149069
BIDU,-0.923180007244,16.289503115514
PDD,-0.61802518224,14.153279132792
BILI,-2.103406544151,30.797046759639
BEKE,-4.523636363636,9.166315789474
