symbol,_J,_U
OSTK,-2.154746809387,27.87930687007
DDD,-1.89753912243,19.351947240453
TLRY,-1.542524384505,3.023337674709
GOOG,-1.48784898044,3.283442512021
GOOGL,-1.452299823633,0.0
FCEL,-1.995992052228,58.231571939013
AAL,-0.521534772182,9.359259841701
COP,25.438032786885,19.673890552785
CCL,-128.485714285715,-193.329165515313
PLUG,-0.0,-37.34847281282
XOM,-0.849361702128,-0.0
BB,-0.848733459357,-2.846594235417
FCX,4.619368421053,0.0
NOK,-0.731281341332,-11.33656236075
ABBV,-0.0,0.0
BA,9.368287292818,2869.932738753778
VALE,0.0,4.248859060403
WFC,3.849696969697,2.109679742834
LVS,4.074936708861,4.672985239518
F,-0.0,-0.0
UAL,2.1076,624.654630465758
GM,-2.083442768412,-47.288194553293
C,3.753807419758,7.322757642509
BP,0.0,10.796841184326
DAL,2.063333333333,0.0
SPWR,-2.260557768924,1444.473959015291
CVX,0.0,0.0
BSX,-2.290434782609,-39.860163589091
GME,-1.100923700203,3.234538143546
SE,-1.195436241611,50.920924996054
LOW,-0.0,-2.343081442319
BAC,7.892631578947,4.470921954437
EXPE,5.331255060729,7.171672490363
ROKU,-1.451266439357,-6.235212362811
MSFT,-1.864468292683,0.0
EBAY,-0.0,2764.79999999889
PYPL,-0.862736338253,-97.127475670248
JPM,-1.687761559889,-5.769655275591
COF,47.322352941176,-6.102589860819
TWTR,-0.194545454545,0.037500987511
TTD,-0.315197889182,13.781037337012
HD,-0.0,-26.616327917961
SNAP,-1.160211864407,4.180949035382
GS,-4.5532,0.0
VZ,0.0,2.109499211483
TWLO,-0.666179533807,42.700992426449
VWO,-1.9804,-25.970177086277
MMM,-2.79484375,0.0
WDAY,-0.803903701786,0.80741706325
IWM,-2.444845360825,-26.931651980056
WMT,0.0,11.484570554911
CRM,-1.611740760578,1.812496532785
DG,0.0,1.539524919906
XLB,0.0,1.378273103986
BRK.B,-1.4875,15.003228047672
SQ,-36.92275862069,-34.159786486565
PG,0.0,5.259284864506
IVV,-0.0,-9.881680860525
W,-1.549194708749,-14.725239357968
ABT,-1.290702726583,1.001588832839
PEP,0.0,6.711432768897
AZN,0.0,-13.922762116459
LMT,2.536508951407,1.482271042497
LMT,2.536508951407,1.482271042497
COST,0.0,2.940243976312
T,0.0,-2.71405
FB,-0.0,-2.210722598023
CSCO,-0.93604379562,-3.407795777251
UNH,0.0,1.580831197234
ACN,0.0,1.171651869604
UPS,0.0,25.647699213373
IBM,0.0,2.69324038069
NVDA,-0.642057860262,-17.194937375857
MS,2.371102787265,0.0
ORCL,1.954556097561,15.510331827998
LLY,-0.0,-7.35444056915
DIS,6.145652173913,-60.474123502966
QQQ,-0.0,-1.983449985357
KO,0.0,12.754163639006
PFE,0.0,0.0
GE,0.42625,1.103842510855
MA,3.603209237229,67.752041013574
JNJ,-0.0,33.588710813691
MCD,0.0,0.0
FDX,0.0,10.214666295765
INTC,-1.597492401216,1968.48349710676
CAT,3.304564315353,-0.0
MRK,0.0,3.323710269611
V,3.009769094139,6.736038921735
ADBE,-1.180973734785,-0.0
NKE,4.759408602151,71.005127090644
BLK,4.833180147059,0.0
TSM,-2.12094196804,-0.0
AAPL,-0.0,-31.030820619357
SHOP,-0.162060650347,-106.081639717605
AMD,0.0,0.925092842782
MDT,0.0,1.409892772105
NEM,0.0,1.242659851805
ATVI,-0.844444444444,-4.73844945536
AMGN,-0.0,-12.135328090194
BMY,-0.0,0.35446491931
CMCSA,6.905333333333,-0.384176211049
QCOM,-1.492169216922,-0.0
MDLZ,0.0,0.0
NFLX,-0.0,-2.274311601558
CMG,-1.976052784786,128.366308644698
NXPI,-0.12063197026,0.285154299728
REGN,-0.0,-0.0
BKNG,2.496831603074,27.013335098553
TMUS,3.191203703704,0.0
SCHW,0.0,0.0
MELI,-1.143927111945,-7.679858438395
AMZN,-1.868262991674,-16110.02556854505
TSLA,-0.0,-44.983412746257
AVGO,-1.456909136673,0.0
PANW,-0.050092879257,0.614839139662
DHR,-2.994413407821,0.910948001117
MU,-3.0165,-0.0
SWKS,-1.32536003815,1.752489193657
LULU,1.845333765392,1343.47832041353
MRVL,-0.0,-6.052209297627
TXN,-1.66133126472,7.029138533462
AMAT,-0.0,-0.0
RACE,1.254914942529,14.475273970271
ILMN,-2.791404352806,0.0
BIIB,-1.617638709677,175.928280261821
EA,-3.524129353234,-0.0
GSK,0.0,0.004459598388
UVXY,4.082352941176,0.693090770023
X,0.477865612648,2.883418503547
SPOT,-3.849169435216,-1.932671300515
CHKP,0.246322378717,0.106752733852
LIZI,-0.297641921397,1.353289003444
TIGR,-1.868691983122,17.681793586431
PDD,-0.509853300734,4.579928596308
BILI,-1.971787766137,-0.0
NIO,-0.0,-28.038399823859
BABA,-0.0,-250.590719976236
GSX,-0.708721496285,-36.245447677398
LI,0.0,7.21576025089
FUTU,-2.395962723109,0.0
XPEV,-0.0,-17.830394643391
BIDU,-1.490957514268,-66.927107225437
JD,-0.0,-22.467590828851
TME,-3.089118198874,260.023676746313
