symbol,_J,_U
GME,-1.725917179083,-22.063547853522
ATVI,-0.509510086455,3.440453937286
SNAP,-1.303486238532,1.263864687857
BB,-0.0,-0.0
SPWR,-0.652668539326,-0.0
EL,-2.384741591468,-0.0
WYNN,-1.415488721805,-10.837726503757
FCX,-10.502521008403,-0.0
Z,-0.060768912774,-0.305482226538
MGM,-0.408737201365,-3.196122988535
SE,-1.053852739726,8.693655849873
LVS,7.634042553191,-7.58938205624
VALE,2.696576576577,-0.0
GILD,-1.889641214351,50.073009605607
ABT,-2.406343940735,28.056681202298
XOM,-0.074464285714,0.804302404967
NKE,16.634736842105,-0.0
COUP,-10.4343847487,-0.0
NEM,1.05,0.0
FDX,-2.382074441687,-27.005026487577
SBUX,-11.7555,-0.0
SHOP,-0.683124557321,4.975221377059
PBR,3.84380952381,-0.0
EA,8.1440625,-0.0
EBAY,-1.87184516129,29.959969523986
LUV,-1.350879478827,-2.52715552511
CMG,-1.464593720266,100.765716948447
CSCO,-1.041854304636,9.459874200842
ADSK,4.939127948535,-44.020228147767
GOOG,-1.934162797895,0.0
GOOGL,-1.911967010309,3.42927165971
ROKU,-2.163974484789,36.129957985174
XLB,3.731756756757,-0.0
COF,-2.047959183673,-0.0
JNJ,-0.0,-0.0
ALB,0.599041960639,0.0
IWM,-1.391344356578,12.571294573643
UPS,-0.986043405676,-33.080073978495
MET,-0.143025561922,0.0
MELI,-1.263202932757,0.0
KO,3.560559440559,-0.0
MS,7.070465046863,-0.0
WMT,4.957533039648,20.716057774001
CCL,-4.105714285714,-18.04419817119
F,-1.891792828685,0.0
HON,4.305572842999,0.0
LOW,-1.096713426854,-41.796640289528
AXP,-2.606875723831,-0.0
MDT,9.516641221374,-0.0
SQ,19.656448598131,-10.040746732447
PEP,3.950310559006,0.0
COP,30.252857142857,-0.0
PM,-2.374789915966,-0.0
VWO,-1.937647058824,60.360743404222
MCD,2.225288753799,-45.435140594611
CAT,12.662857142857,-0.0
AMZN,-1.24731661257,3.359532802544
IBM,3.818635014837,0.0
FB,-37.847547169808,-2.019823471556
FCEL,-2.610139534884,204.228331253025
ADBE,-0.631965811966,0.0
BKNG,3.317113223855,-0.0
BSX,-0.851402714932,8.863671631421
DAL,-2.854513274336,-0.0
DIS,-4.323414634146,-13.483834042183
GM,-1.43481938326,0.0
TWTR,-1.890339622641,0.0
PG,0.0,143.66444727705
IVV,-1.375,22.460250776708
CRM,-2.360047477745,51.078662311536
ORCL,-5.618618181818,-2.229462896955
QQQ,-2.649635036496,72.835095477523
VZ,0.0,50.760421052631
NXPI,-0.261551724138,-0.0
TSLA,2.566505937388,178.386489342335
X,0.0,0.0
C,5.72169632107,-0.0
CVX,5.376129032258,79.00911745544
ABBV,-3.504472897679,62.074980392157
TGT,3.698181818182,-75.870678986111
T,1.661364705882,3.293994379195
TWLO,-0.692224176929,5.763122919764
TTD,-1.078886075949,8.418055398729
PFE,0.269661016949,18.713021991599
MSFT,-2.010487156776,75.836073565887
LLY,-0.0,-0.0
REGN,-21.528000000001,-3.315438128398
AMD,0.83119760479,0.0
DE,-0.764514024788,0.0
HD,-1.779242579324,-35.523259699721
SWKS,-1.044421460892,0.0
LMT,-36.266326530614,126.393172276389
GS,-6.168421052632,-0.0
CLX,2.21632798574,-0.0
MU,-0.078423913043,-3.245480791783
JPM,-3.456265306123,-0.0
COST,0.0,0.0
NFLX,-1.617231988116,254.805743607398
V,3.82005988024,-0.0
BRK.B,-3.151851851852,-17.220538320181
TSM,-0.873861386139,0.0
AAPL,-4.017682901977,-55.814244441576
MRK,0.0,0.0
PYPL,-0.821830985915,3.765811931806
WFC,6.694900056043,-0.0
GSK,0.0,0.0
BAC,24.687499999999,-0.0
AMGN,0.0,-3.992821099982
GE,-5.366666666666,0.0
MRVL,-2.254020618557,-0.0
NVDA,-0.612569610183,11.021284758805
UAL,0.0,122.121126760568
UVXY,4.77375,-0.0
MA,2.58719602649,-15.579380158096
CMCSA,0.0,7.648736481638
BP,0.0,37.947470817121
DG,0.0,18.110239651416
AVGO,-1.346951399116,0.0
BMY,1.828662420382,0.0
INTC,-0.854790095305,24.201146843776
CVS,1.123880597015,47.337944815534
TXN,8.908881048387,0.0
AAL,-0.0,76.726790551182
AZN,0.0,-1.735981665393
SPLK,-0.893429752066,10.775133382334
BA,11.541624365482,-34.1977024945
SPOT,0.238738781294,-0.0
LULU,1.188164435946,-43.858120457297
QCOM,0.045777777778,-0.528689275894
UNH,0.842962962963,0.0
W,-0.86607373868,9.802231404851
AMAT,-1.117980582524,-337.975093959381
PLUG,-3.011921634014,-0.0
PRU,5.651851851852,-10.536830929429
NOK,-3.187586206897,-0.0
TLRY,-1.464052741152,0.0
TMUS,0.443251533742,-0.0
LAIX,-0.909353612167,0.0
JG,-0.262857142857,2.322811747713
BIDU,-1.926064257028,33.648893919534
GSX,-0.615282424242,-28.070793508641
JD,-2.272470588235,853.98187420376
TME,-1.674260869565,-142.438667238665
FUTU,-1.751513503011,44.639170955135
BABA,-2.197659430122,-260.764157160025
PDD,-1.409161793372,19.425485685991
LI,0.354769230769,94.701754800871
NIO,0.0,-8.643760744325
XPEV,-0.0,-12.25020147677
BILI,-1.932276938079,20.136341052114
TIGR,-1.488506493506,14.464144175759
IDEX,-2.443296089385,0.0
