symbol,_J,_U
UAL,0.813450292398,1.208517184664
INO,3.971085409253,-8.043759596876
FSLY,5.878929428103,5.114582449757
AAL,0.641171684296,0.92834899031
NVAX,3.598033977989,-0.857622105187
WKHS,5.248202330771,-0.549719368885
NCLH,0.183403487673,1.867128183873
BYND,2.786188878854,5.311983122916
RCL,0.151127938161,0.659648660646
WORK,1.601100917431,3.414223142942
CCL,-0.455872594559,0.953018193222
FE,1.365034965035,2.120985292734
LVGO,0.351380734942,0.984074804273
TDOC,0.410800744879,0.987164890407
WYNN,0.182352128248,0.729600561113
GSX,10.832091690544,1.170095878334
OXY,0.594886922321,-0.05372199775
MGM,-0.634841628959,-0.272711328939
ZS,1.19805453099,2.638940395581
CZR,0.511176796601,-1.19813523465
MXIM,1.577140241111,2.549202895673
PENN,1.903924646782,-0.985491874286
BILI,1.214928909953,2.200116574758
CTXS,1.963758389262,0.498914283869
EXPE,-0.076413380357,0.142602319819
DPZ,1.148848726196,-0.530634337831
ETSY,3.213307406155,5.652184936661
MPC,0.821865176388,0.57122313657
QDEL,5.155816435432,8.737951286775
PLUG,7.365665236052,10.138296628701
GPS,3.164518109269,4.616550910755
VIAC,-0.471649484536,-0.996127636461
ULTA,1.540192777752,1.599632042612
OSTK,1.987535014006,2.4607974407
HAL,0.297493936944,0.200539429265
CHGG,2.6814527706,4.612440250638
LYFT,1.312744331509,-0.329526791201
VLO,1.032703488372,-0.983709283885
TTWO,0.188254026578,-0.013604111065
ENPH,6.8192067373,10.665680082175
NET,4.483516483516,6.610362399197
M,0.522388059701,0.877710737095
DRI,0.400299537482,1.807431538848
AKAM,0.594166666667,0.15436959203
AYX,3.533065236819,6.585535313605
ZNGA,0.522321428571,1.525224892589
WIX,2.045357502518,3.242964071094
RUN,4.344005568122,2.313822779978
SPAQ,6.311329170384,-0.438898550725
ON,3.809175207418,5.694908239591
RH,1.318311289094,1.406646808596
KSS,1.401028277635,0.718969764196
SEDG,7.155702627389,11.205342754973
TER,1.553625426237,2.765029352089
TSCO,1.438147715662,1.765212978997
MDB,1.141006947423,3.160225278877
OKE,2.53618552579,3.279567346899
DGX,1.071083258729,1.289545450255
ET,1.335154826958,1.150373730908
EFX,0.513790891597,0.909022676241
BURL,1.113563402889,1.592681531804
TIF,0.561435365326,0.835664539585
BMRN,0.137097816255,0.345252905857
PXD,1.418548192771,0.321946088776
WAT,1.400607139119,1.597653923085
EQR,0.999369458128,0.954560832964
KSU,-0.016346681295,0.030115102725
SAM,0.932630713544,1.326425425137
URI,2.310990840966,3.527378399444
SYF,2.192124105012,2.954319610459
CNP,1.593996840442,2.655129180371
PHM,2.285412757974,2.141342614048
HZNP,1.031028135682,1.121878332268
CFG,2.230863692182,2.725775433825
STX,0.897801742016,1.640401996376
DBX,0.613838120104,0.983323750828
KEY,1.66609735269,2.236371612755
CHKP,0.435061153174,0.969936520465
FFIV,1.103508625719,1.670790801763
GDDY,0.207025013305,0.627920192325
GWW,1.327633851468,2.316579000898
QRVO,1.351906391785,2.047744080071
JWN,2.07466442953,1.990783407467
LYV,0.564988730278,0.8003850324
JBLU,1.031656548135,1.333882942729
KGC,0.69074624127,0.466323215702
FIVN,2.027470767259,3.379868731106
VMC,1.784564684243,3.271655773383
TCOM,0.267661691542,1.660301538623
CHRW,0.810403695521,0.437781166741
JBHT,0.651996548207,0.489424589861
FITB,2.107718612604,3.107826638579
GNRC,2.35907229049,3.514408157132
HOLX,0.813830613831,1.771923364141
OMC,0.977212614446,1.162388060338
HST,0.87030075188,1.331828599997
ALNY,1.182352941176,1.699915348397
MAS,0.546232336657,0.691838203354
VIPS,-0.229093050648,-0.470217472493
CAG,0.97722095672,1.76147772024
MLM,2.222453222453,4.266254921447
ALLY,2.03306122449,3.233794013117
CMS,0.604662536681,1.254370301481
CAH,0.187132098384,0.604326460077
FOXA,0.737827715356,1.243782117163
PLNT,1.259568778205,2.684610785787
CRSP,2.392198834582,3.67181120603
EVRG,1.039769337841,1.407629100922
RF,2.520909090909,3.424325822731
EHTH,2.078,3.340255509066
KMX,0.993765040473,-0.249303229632
EXAS,0.382497441146,4.196148851792
HUBS,0.541815461007,2.058833164525
AAP,0.708118599826,0.913990005378
NTRS,1.68924928067,2.251092938325
SRPT,0.745355587808,-0.192576380183
HBAN,1.81179138322,2.14176295222
NBIX,0.72682067751,0.609692531755
ATUS,0.857745398773,1.218867286178
CAR,2.791620727674,3.294136173369
VTR,0.875841628345,1.412251358713
HES,-0.034904458599,-0.662203097711
PKI,0.79854140062,1.714427070973
AA,1.683982683983,2.065275068279
ABMD,0.518127908722,0.693150610612
FANG,0.930065135413,-0.23697575605
TYL,1.634342615643,3.208877603381
PEAK,0.68050879162,1.232894787907
AUY,1.077958767679,1.236729884543
IFF,1.265076441663,-0.333067422422
BIO,1.611008628384,2.530963636992
FTCH,2.869527896996,3.55813983484
CXO,0.919011667811,0.512591036981
FSLR,4.000158604282,5.754881660094
RGEN,2.515384615385,4.052803726352
X,3.526019690577,3.933512338576
THO,1.253596733252,1.057733503643
LII,1.313884768144,1.77093564149
ESTC,1.786634082151,3.256818665831
FHN,3.489772727273,4.645234056988
AVTR,1.621879255561,2.533277185893
SONO,0.831346423562,0.456092907857
XYL,1.23958584156,1.918916689417
CINF,0.58496221006,0.99585535455
DVN,1.670068027211,2.239712038407
AES,1.307392996109,1.867136331779
BKR,0.546077684692,-0.182130719275
HOG,4.040825285338,4.673910332454
BWA,1.439554468894,2.00636134102
POOL,1.520152332593,2.876631254968
HPE,1.062568605928,1.483259873939
ELAN,2.40782122905,4.330566479322
BE,5.04021094265,7.926524404624
SU,0.278232405892,0.124290219715
ALK,0.918801089918,0.886917264989
