symbol,_J,_U
BB,-1.367563132932,3.113504237585
IRBT,-1.217291875627,4.758439521662
NOK,-0.826321243523,2.019756838906
M,-1.725146853147,67.880188679245
UVXY,-10.642857142857,20.02688172043
DDD,-2.49754527163,14.350721420644
CLX,-1.323678724709,-1.437210417
TSLA,-2.275549293214,108.401140985089
ILMN,-1.162504179825,2.781078342488
MRVL,-2.38755579661,10.789352941177
LLY,-2.17211033275,7.813001984314
KR,-1.830501672241,5.802798982188
AAPL,-0.411880108992,1.236988543371
SWKS,-1.828492773572,6.899345590527
SPG,-2.12380778032,7.754879679144
PFE,61.719999999994,77.149999999957
GILD,-1.922803234501,6.689422355589
UPS,0.0,12.629542790152
AMAT,-0.880296943231,15.179819277108
PG,0.0,5.294372870773
VZ,-20.854384236454,-8.819666666667
MSFT,-0.481581259151,-0.797034021518
AZN,-1.273879781421,4.749796251019
JNJ,-1.510347890452,6.593253198914
EBAY,-2.113146067416,16.874831763122
QCOM,-1.642362002567,10.654563624251
FB,-3.334878504673,-3.482782853127
WFC,-0.0,-11.697637795276
TSM,-1.771894093686,12.29369206421
LMT,0.0,21.361386138614
ISRG,0.803709765412,3.756119118847
LOW,-2.661182700794,16.273316062176
ROKU,-1.220600143575,22.278511530398
QQQ,-1.48197477089,7.172467125861
ORCL,0.371900115413,10.724901664145
MMM,3.276116504854,-8.81044386423
SHOP,4.00193877551,345.608045976973
T,-0.0,48.737391304356
CMCSA,0.0,6.773111726685
CSCO,-0.589428268301,-12.626565656566
KO,0.0,24.058568329718
CL,0.0,9.463758728694
VWO,-1.443968598131,15.475224358975
BMY,-1.1249549701,334.585714285748
IVV,-2.055407895198,29.606377396571
HD,-1.972033898305,7.70785028155
SPWR,-1.999312714777,5.836677367576
EA,-0.861842105263,1.717357105401
ADBE,3.373080999243,22.023724792409
SNAP,-1.158171428571,-28.879274611398
MRK,-0.9474,-11.610294117647
HLT,0.0,-1.579327945555
TXN,-1.895673758865,17.492801047121
GOOGL,-1.333733216213,4.979395643008
UNH,-2.098917378917,-11.783749200256
CRM,-106.465714285724,-10.656085790885
DHR,-2.442861041293,-14.114871369294
MA,2.735639507565,7.897433532284
AMZN,-0.501848157613,-3.326877677713
IBM,0.583829787234,-2.364262990456
BRK.B,-0.0,-445.682926828996
MCD,-0.664615384615,3.78947368421
AVGO,-1.755631563156,10.695130867086
IWM,-2.562089584692,30.127116477272
GOOG,-1.161158517596,5.387198381737
WMT,-0.0,-2.06
COST,6.868740740741,6.426947601885
HON,0.0,9.099388379205
WDAY,2.040740740741,-165.300000000011
FDX,0.0,894.89473684184
NVDA,-1.081728582259,62.910052910052
EXPE,-0.0,-24.001771479185
FCEL,-3.131043478261,-308.231128404664
TWTR,3.46264274062,21226.00000020031
V,1.772642487047,14.80077871512
DIS,2.602729805014,5.826038159372
XLB,-0.0,-11.659459459459
ABBV,-1.519964894317,27.027440372461
CVX,-0.0,157.909836065593
TGT,-0.0,-22.128870292887
GE,-0.0,-9.738095238095
ATVI,-1.325163934426,2.689121756487
XOM,-0.0,-4229.000000002328
BA,0.990848440899,167.448529411771
MU,-0.952261682243,15.656422864167
CVS,-0.618244274809,-21.397622192867
C,0.0,-3.695939982348
JPM,-0.0,-15.925844504021
BAC,-0.0,-9.943899018233
NKE,0.089777777778,0.378986866792
NFLX,-0.291604765242,1.380898652685
SPOT,-5.957394636015,-12.143705092159
BLK,-0.0,-6.679889617109
PLUG,-2.821765096218,281.927071823209
PYPL,-2.805817782656,6.469501392053
LULU,1.916692913386,82.494990176817
W,-0.0,165.577319587639
F,-1.522969072165,12.561904761905
INTC,-2.296583034648,12.184584178499
GS,-0.0,-14.128430940848
LVS,0.0,13.076379066478
BKNG,0.0,1.920011714174
MS,-0.0,-13.829819277108
CAT,-0.0,-10.980781974818
AAL,0.0,-2.611940298507
MAR,0.0,2.691823899371
DAL,0.573253012048,-15.549019607844
SQ,0.0,10.753457796477
TWLO,-2.943224299065,17.240812974749
SE,-2.562450704225,17.527360308285
TTD,0.972340949514,-52.164122137404
GM,-1.514225232854,16.662473794549
LUV,0.0,-6.497409326425
AXP,-2.470110576923,19.395356738392
MELI,-1.922732165471,10.753527984843
UAL,0.0,0.326767091541
MGM,1.005263157895,-5.134408602151
TLRY,-1.10634089587,15.426670992862
CCL,0.0,5.234104046243
FCX,-0.0,-41.749152542372
COUP,0.40932464146,2.320482497635
EH,-1.830411866814,0.97988747529
GSX,-1.251706864564,8.965118596771
NTES,-1.589781852672,7.191350609233
PDD,-0.984667630058,21.730202217873
JD,-1.547645788337,31.178357926599
FUTU,-1.963168685927,0.0
BABA,-0.305378364652,1.40837944664
BIDU,-1.171884103367,12.233470669021
BILI,-2.200941446613,26.784710578842
XPEV,-1.98607198748,8.408115942029
NIO,-2.263713080169,-149.027777777772
LI,-2.390337078652,-14.611263736264
SOL,-2.329108550637,17.822273781903
